"Paul Manafort’s defense team held talks with prosecutors to resolve a second set of charges against the former Trump campaign chairman before he was convicted last week, but they didn’t reach a deal, and the two sides are now moving closer to a second trial next month, according to people familiar with the matter.

The plea discussions occurred as a Virginia jury was spending four days deliberating tax and bank fraud charges against Mr. Manafort, the people said. That jury convicted him on eight counts and deadlocked on 10...",politics
"President Trump's former personal attorney Michael Cohen pleaded guilty to eight criminal charges on Tuesday. WSJ's Shelby Holliday explains how Cohen's move could impact the president. Photo: Associated Press

WASHINGTON—President Trump denied playing a part in illegal hush-money payments to two women during the 2016 campaign and berated his former lawyer for swearing in court a day earlier that he had, leaving the White House and both political parties Wednesday to sort through the fallout less than three months before midterm elections.

Mr. Trump and administration officials sought to discredit Michael Cohen, who said Tuesday as part of a guilty plea in federal court that the president directed him to buy the silence of the women...",politics
"DUBLIN—As Ireland prepares to welcome its first papal visit in four decades when Pope Francis arrives Saturday, it is a much changed and less Catholic country. But in one key respect, the Ireland of 2018 is as it was in 1979: The vast majority of its children are educated in Catholic schools.

In the years since millions came out to see Pope John Paul II, contraception and divorce have become legal, as has same-sex marriage, while a ban on abortion added to the constitution in 1983 was removed after a referendum this May.

...",world
"ISTANBUL—The German government is considering providing emergency financial assistance to Turkey as concerns grow in Berlin that a full-blown economic crisis could destabilize the region, German and European officials said.

While the talks are at an early stage and may not result in any aid, the possibilities being discussed range from a coordinated European bailout similar to the kind deployed during the eurozone debt crisis to project-specific loans by state-controlled development banks and bilateral aid.

...",world
"PACARAIMA, Brazil—Arriving home from work last Friday in this sweltering Amazonian town along Venezuela’s border, a shopkeeper was beaten by a group of four men who tied him and his wife up before taking $5,600 he had stuffed in his pocket to buy supplies the next day.

The attack proved to be a tipping point for this impoverished town of 10,000 people, where—like across swaths of South America—sympathy is beginning to give way to resentment over the 2.3 million Venezuelans the U.N. estimates have fled to neighboring countries...",world
"The Trump administration is escalating an effort to revive the flagging U.S. coal industry with a planned move next week to replace restrictive Obama-era climate policies with new rules designed to help coal-burning plants run harder and stay open longer.

The proposed new rules, which the Environmental Protection Agency plans is expected to release within days, would be the latest in a series of reversals of policies the Obama administration adopted to slow climate change. It would replace the agency’s so-called Clean Power...",politics
"Paul Manafort’s defense team held talks with prosecutors to resolve a second set of charges against the former Trump campaign chairman before he was convicted last week, but they didn’t reach a deal, and the two sides are now moving closer to a second trial next month, according to people familiar with the matter.

The plea discussions occurred as a Virginia jury was spending four days deliberating tax and bank fraud charges against Mr. Manafort, the people said. That jury convicted him on eight counts and deadlocked on 10...",politics
"President Trump announced Monday that officials have finalized a bilateral trade deal between the U.S. and Mexico that would replace Nafta, with Canada possibly joining later pending negotiations. Photo: Getty Images

U.S. and Canadian negotiators began a last-minute sprint to complete a North American Free Trade Agreement rewrite, as pressure built on Canadian Prime Minister Justin Trudeau to cut a deal and President Trump faced skepticism from Congress.

After being sidelined in the discussions for three months, Canadian Foreign Minister Chrystia Freeland arrived in Washington to meet with U.S. counterparts, a day after Mr. Trump said the U.S. and Mexico had agreed to new trade terms and suggested Canada had little leeway to change what...",politics
"RIYADH, Saudi Arabia—Months after the start of an anticorruption crackdown, Saudi authorities are still holding a senior prince and several dozen businessmen and former officials in detention and recently have made new arrests, government officials said.

Some of the detainees have been beaten and deprived of sleep while being questioned, officials and people close to the detainees said. In some cases, these people said, those in custody haven’t been charged with crimes and have been permitted little or no contact with relatives...",world
"When Benjamin Franklin suggested Parisians could save candle wax by rising with the sun instead of around noon, the 18th-century polymath couldn’t have imagined the debate over what time its citizens kept would still vex European nations in 2018.

But more than 230 years later, the European Union is proposing to abolish the twice yearly clock change that extends daylight hours in summer evenings and makes winter mornings brighter, after a poll found Europeans overwhelmingly dislike the effects of altering their watches by an...",world
